nohup: ignoring input
 * Running on http://0.0.0.0:5000/ (Press CTRL+C to quit)
114.242.250.199 - - [04/Jun/2015 11:33:36] "GET /item_detail/bd0687eeec2bd355a5562c94e12ec89a HTTP/1.1" 200 -
114.242.250.199 - - [04/Jun/2015 11:33:36] "GET /static/css/bootstrap.min.css HTTP/1.1" 200 -
114.242.250.199 - - [04/Jun/2015 11:33:37] "GET /static/css/bootstrap-responsive.css HTTP/1.1" 404 -
114.242.250.199 - - [04/Jun/2015 11:33:37] "GET /static/js/bootstrap.min.js HTTP/1.1" 200 -
114.242.250.199 - - [04/Jun/2015 11:33:37] "GET /static/img/thumbs/big/.jpg HTTP/1.1" 404 -
114.242.250.199 - - [04/Jun/2015 11:33:38] "GET /static/img/thumbs/big/.jpg HTTP/1.1" 404 -
114.242.250.199 - - [04/Jun/2015 11:33:38] "GET /static/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 200 -
114.242.250.199 - - [04/Jun/2015 11:33:48] "GET /list_item?category=backpack HTTP/1.1" 200 -
114.242.250.199 - - [04/Jun/2015 11:33:48] "GET /favicon.ico HTTP/1.1" 404 -
114.242.250.199 - - [04/Jun/2015 11:33:48] "GET /static/css/bootstrap.min.css HTTP/1.1" 200 -
114.242.250.199 - - [04/Jun/2015 11:33:49] "GET /static/js/bootstrap.min.js HTTP/1.1" 200 -
114.242.250.199 - - [04/Jun/2015 11:33:49] "GET /static/img/thumbs/square/b19f288ee767beb990be86ff5525889a4b8ff60d.jpg HTTP/1.1" 200 -
114.242.250.199 - - [04/Jun/2015 11:33:49] "GET /static/img/thumbs/square/a539475eed2bf592efca312154ad378611303394.jpg HTTP/1.1" 200 -
114.242.250.199 - - [04/Jun/2015 11:33:49] "GET /static/img/thumbs/square/7b7e1300c399aaa2fa5c20d03c373b74b9a1a44b.jpg HTTP/1.1" 404 -
114.242.250.199 - - [04/Jun/2015 11:33:49] "GET /static/img/thumbs/square/2e08c5f7d2e9e8ae3c5fdf759b42dbf680c9e84a.jpg HTTP/1.1" 200 -
114.242.250.199 - - [04/Jun/2015 11:33:49] "GET /static/img/thumbs/square/c521cc1d7a4d2ef48c667dd3cb30dff846c3c650.jpg HTTP/1.1" 200 -
114.242.250.199 - - [04/Jun/2015 11:33:50] "GET /static/img/thumbs/square/5096ac29fb3e75a9351145aafe4f6a374c07630c.jpg HTTP/1.1" 200 -
114.242.250.199 - - [04/Jun/2015 11:33:50] "GET /static/img/thumbs/square/b5b1fbf166803b8eb58bb4d37d4561aeafbb99a3.jpg HTTP/1.1" 200 -
114.242.250.199 - - [04/Jun/2015 11:33:50] "GET /static/img/thumbs/square/66e6583735420589f46491f063933f8b1921b2b0.jpg HTTP/1.1" 200 -
114.242.250.199 - - [04/Jun/2015 11:33:50] "GET /static/img/thumbs/square/0ec9d553117bd8144da483d48efc0f038796630f.jpg HTTP/1.1" 200 -
114.242.250.199 - - [04/Jun/2015 11:33:50] "GET /static/img/thumbs/square/d3065cc8ffd82bf9d7b9f5093e8199fd4b69580a.jpg HTTP/1.1" 200 -
114.242.250.199 - - [04/Jun/2015 11:33:50] "GET /static/img/thumbs/square/63828bb656708bdf93b52856d1f836dbb5a49d37.jpg HTTP/1.1" 200 -
114.242.250.199 - - [04/Jun/2015 11:33:50] "GET /static/img/thumbs/square/b21ffa4bb68765f184df4c162684882a2b6163e2.jpg HTTP/1.1" 200 -
114.242.250.199 - - [04/Jun/2015 11:33:50] "GET /static/img/thumbs/square/5f51182b69d291528c7985ee1bde123548ffc9ad.jpg HTTP/1.1" 200 -
114.242.250.199 - - [04/Jun/2015 11:33:50] "GET /static/img/thumbs/square/7ba183936c9671e34db5edff08ca466318f82655.jpg HTTP/1.1" 200 -
114.242.250.199 - - [04/Jun/2015 11:33:50] "GET /static/img/thumbs/square/486dba2af57a74637ca78eaeec9c95a816d90f10.jpg HTTP/1.1" 200 -
114.242.250.199 - - [04/Jun/2015 11:33:51] "GET /static/img/thumbs/square/0149989a93d557adc729f24d54abb85b69161231.jpg HTTP/1.1" 200 -
114.242.250.199 - - [04/Jun/2015 11:33:51] "GET /static/img/thumbs/square/ad3e3dd60f85b988f5686e6b3623eb4387ad6350.jpg HTTP/1.1" 200 -
114.242.250.199 - - [04/Jun/2015 11:33:51] "GET /static/img/thumbs/square/49b59553c8ef23feba3b8de19308fed9975d41d8.jpg HTTP/1.1" 200 -
114.242.250.199 - - [04/Jun/2015 11:33:51] "GET /static/img/thumbs/square/998fb1fca0d3b67a786ec30a4670ee614cceb689.jpg HTTP/1.1" 200 -
114.242.250.199 - - [04/Jun/2015 11:33:51] "GET /static/img/thumbs/square/ca2fce61c856faa7caf071df437c1148002799a1.jpg HTTP/1.1" 200 -
114.242.250.199 - - [04/Jun/2015 11:33:51] "GET /static/img/thumbs/square/7b7e1300c399aaa2fa5c20d03c373b74b9a1a44b.jpg HTTP/1.1" 404 -
114.242.250.199 - - [04/Jun/2015 11:33:51] "GET /static/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 200 -
114.242.250.199 - - [04/Jun/2015 11:33:55] "GET /list_item?category=backpack HTTP/1.1" 200 -
114.242.250.199 - - [04/Jun/2015 11:33:56] "GET /static/css/bootstrap.min.css HTTP/1.1" 200 -
114.242.250.199 - - [04/Jun/2015 11:33:56] "GET /static/js/bootstrap.min.js HTTP/1.1" 200 -
114.242.250.199 - - [04/Jun/2015 11:33:56] "GET /static/img/thumbs/square/b19f288ee767beb990be86ff5525889a4b8ff60d.jpg HTTP/1.1" 200 -
114.242.250.199 - - [04/Jun/2015 11:33:56] "GET /static/img/thumbs/square/7b7e1300c399aaa2fa5c20d03c373b74b9a1a44b.jpg HTTP/1.1" 404 -
114.242.250.199 - - [04/Jun/2015 11:33:56] "GET /static/img/thumbs/square/a539475eed2bf592efca312154ad378611303394.jpg HTTP/1.1" 200 -
114.242.250.199 - - [04/Jun/2015 11:33:56] "GET /static/img/thumbs/square/2e08c5f7d2e9e8ae3c5fdf759b42dbf680c9e84a.jpg HTTP/1.1" 200 -
114.242.250.199 - - [04/Jun/2015 11:33:57] "GET /static/img/thumbs/square/c521cc1d7a4d2ef48c667dd3cb30dff846c3c650.jpg HTTP/1.1" 200 -
114.242.250.199 - - [04/Jun/2015 11:33:57] "GET /static/img/thumbs/square/5096ac29fb3e75a9351145aafe4f6a374c07630c.jpg HTTP/1.1" 200 -
114.242.250.199 - - [04/Jun/2015 11:33:57] "GET /static/img/thumbs/square/b5b1fbf166803b8eb58bb4d37d4561aeafbb99a3.jpg HTTP/1.1" 200 -
114.242.250.199 - - [04/Jun/2015 11:33:57] "GET /static/img/thumbs/square/66e6583735420589f46491f063933f8b1921b2b0.jpg HTTP/1.1" 200 -
114.242.250.199 - - [04/Jun/2015 11:33:57] "GET /static/img/thumbs/square/0ec9d553117bd8144da483d48efc0f038796630f.jpg HTTP/1.1" 200 -
114.242.250.199 - - [04/Jun/2015 11:33:57] "GET /static/img/thumbs/square/d3065cc8ffd82bf9d7b9f5093e8199fd4b69580a.jpg HTTP/1.1" 200 -
114.242.250.199 - - [04/Jun/2015 11:33:57] "GET /static/img/thumbs/square/63828bb656708bdf93b52856d1f836dbb5a49d37.jpg HTTP/1.1" 200 -
114.242.250.199 - - [04/Jun/2015 11:33:58] "GET /static/img/thumbs/square/b21ffa4bb68765f184df4c162684882a2b6163e2.jpg HTTP/1.1" 200 -
114.242.250.199 - - [04/Jun/2015 11:33:58] "GET /static/img/thumbs/square/5f51182b69d291528c7985ee1bde123548ffc9ad.jpg HTTP/1.1" 200 -
114.242.250.199 - - [04/Jun/2015 11:33:58] "GET /static/img/thumbs/square/486dba2af57a74637ca78eaeec9c95a816d90f10.jpg HTTP/1.1" 200 -
114.242.250.199 - - [04/Jun/2015 11:33:58] "GET /static/img/thumbs/square/7ba183936c9671e34db5edff08ca466318f82655.jpg HTTP/1.1" 200 -
114.242.250.199 - - [04/Jun/2015 11:33:58] "GET /static/img/thumbs/square/0149989a93d557adc729f24d54abb85b69161231.jpg HTTP/1.1" 200 -
